outcome_cat,outcome,cohort,analysis,term,hr,conf_low,conf_high,outcome_time_median
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0028_0197,1.340765757,1.272220148,1.413004516,110
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0001_0028,2.008743695,1.812784428,2.225885864,10
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0197_0365,1.229097177,1.160148892,1.302143097,274
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0000_0001,28.68546996,25.06477079,32.82919256,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0365_0714,1.170286384,1.132365063,1.209477638,416
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0001_0028,1.930284982,1.874475037,1.987756593,11
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0028_0197,1.238866867,1.220144422,1.257876598,110
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0197_0365,1.147797216,1.128399034,1.16752887,273
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0000_0001,34.37884167,33.23785625,35.55899471,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.446958837,1.349991235,1.550891458,269
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,16.2686672,15.55470243,17.01538611,6
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.363417888,1.234517493,1.505777084,454.5
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,262.81727,250.9307488,275.2668525,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.826764922,1.724699789,1.934870115,104
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.249104739,1.231597135,1.266861219,110
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.171416127,1.136226056,1.207696071,416
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.160205469,1.142078668,1.178619973,273
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,1.92974359,1.877747581,1.983179402,11
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,33.19579581,32.14531492,34.2806055,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0000_0001,18.03649956,16.66515959,19.52068414,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0365_0714,1.311242882,1.247942131,1.377754507,414
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0001_0028,1.590607303,1.507922326,1.677826204,14
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0028_0197,1.410940406,1.378492086,1.444152527,110
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0197_0365,1.234221107,1.20258898,1.266685266,275
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,1.223197605,1.181238325,1.266647338,16
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,18.04606009,17.25277179,18.87582406,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.155115328,1.118738802,1.19267466,413
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.222829769,1.205194365,1.240723229,110
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.147361319,1.128992935,1.166028551,273
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, more than six months ago",days0365_0714,1.072628202,1.028865974,1.11825183,419
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, more than six months ago",days0001_0028,2.164413448,2.090882655,2.240530123,9
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, more than six months ago",days0000_0001,39.78372862,38.24064671,41.38903539,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, more than six months ago",days0028_0197,1.16909331,1.14684581,1.191772387,111
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, more than six months ago",days0197_0365,1.117060632,1.093663205,1.14095873,272
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, within six months",days0000_0001,40.3626255,37.50020653,43.44353505,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, within six months",days0197_0365,1.013952551,0.962144416,1.068550374,271
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, within six months",days0001_0028,1.668236621,1.539043111,1.808275157,10
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, within six months",days0028_0197,1.074859243,1.028922586,1.122846762,106
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),"Prior history of outcome, within six months",days0365_0714,1.120529032,1.014385415,1.237779342,408
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0365_0714,1.162628449,1.120743247,1.206079013,416
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0001_0028,1.779668932,1.719747271,1.84167846,11
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0028_0197,1.235698067,1.214685388,1.257074242,110
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0197_0365,1.149712523,1.12789691,1.17195009,273
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0000_0001,26.67453645,25.53980283,27.8596863,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0028_0197,1.271940516,1.240846366,1.30381385,110
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0197_0365,1.177104724,1.14507553,1.210029694,273
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0000_0001,46.05613599,43.86268681,48.35927336,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0001_0028,2.257359799,2.157532484,2.361806046,9
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0365_0714,1.176659863,1.11405521,1.242782727,418
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.183265394,0.617110487,2.268827323,269
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.865383011,0.924010356,3.765817616,464.5
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.458900544,0.826070796,2.576523733,88
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,164.3018032,92.91108867,290.5471879,1
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,7.939315004,4.474720985,14.08640292,13
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.043888237,0.899253186,1.211786255,271
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,1.862074316,1.52380384,2.275437736,14
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,25.48393588,19.55682335,33.2073863,1
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.129650958,0.853684354,1.494828014,420
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.202305357,1.059589762,1.36424324,110
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.155031348,0.903571442,1.476471424,419
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,1.533862302,1.226505476,1.918241384,14
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.079995948,0.950260357,1.227443866,272.5
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.23291177,1.104794536,1.375886089,111
Mental illnesses,Eating disorders,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,17.62850353,12.53570586,24.79031817,1
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.231494411,1.089208298,1.392367729,454
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,21.08344215,20.09485877,22.12068182,6
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,306.6386443,290.5538706,323.6138552,1
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.968982477,1.843783296,2.102683319,98
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.438075268,1.324896575,1.560922043,264
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,34.01436807,32.79417264,35.27996415,1
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.145166551,1.106102163,1.185610583,414
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.260827223,1.241073069,1.280895803,110
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,2.184050704,2.120847836,2.249137066,11
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.138040943,1.118119402,1.158317426,272
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.138064773,1.097670154,1.179945926,411
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.125647428,1.105507083,1.146154693,272
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,18.99129498,18.06101714,19.96948909,1
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,1.37843335,1.327741438,1.431060631,15
Mental illnesses,General anxiety,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.232387602,1.212548101,1.252551712,111
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.17302854,1.065696312,1.291170795,277.5
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.044325894,0.845931578,1.289249157,409
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0028,0.997669819,0.787600734,1.263768588,17.5
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.03573788,0.942634561,1.138036945,118
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.179566772,1.07107733,1.29904511,277.5
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0028,0.876572498,0.679461071,1.130865882,16
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.024182871,0.931080328,1.126595119,119
Diabetes,Gestational diabetes,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.054822927,0.853730533,1.303281732,408.5
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,17.2554839,16.19053804,18.39049583,4
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,448.9398884,430.4748923,468.1969309,0
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.291482651,1.161707958,1.435754364,268
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,2.280274431,2.10676227,2.468076741,96
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.120302793,0.975243886,1.286937931,462
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.041891697,0.975443734,1.112866256,439
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.092583964,1.046915687,1.140244371,276
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,4.66858487,4.452300817,4.895380474,5
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.427857116,1.377520302,1.480033318,102
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,241.6996888,234.830975,248.7693097,0
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,170.7476952,164.2464428,177.506282,0
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,1.895986342,1.750628384,2.053413848,9
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.278307452,1.227745917,1.330951234,105
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.018850468,0.945833717,1.097504098,435
Cardiovascular diseases,Heart failure,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.056024093,1.008046702,1.106284828,278
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.253520635,1.031455591,1.523394548,462
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,177.4871124,156.6221161,201.1319178,0
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,9.918582322,8.800680077,11.17848557,6
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.915829331,1.691058053,2.170476872,93
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.311907257,1.122323175,1.533516248,277.5
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,3.933953894,3.623531128,4.270970138,8
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,214.8697434,203.3061559,227.0910413,0
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.394430656,1.316238306,1.477267947,106
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.157143537,1.051343742,1.273590147,435.5
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.07884314,1.008846602,1.153696229,273
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,2.573801786,2.300676707,2.879351226,10
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.134732341,1.017149391,1.265907935,430
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,227.2125675,213.8406262,241.4206868,0
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.311208984,1.229346835,1.398522329,108
Cardiovascular diseases,Ischaemic stroke,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.045251263,0.970871847,1.125328958,273
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,2.217713839,1.611053728,3.052818529,290
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,2.275901604,1.60663606,3.223958579,103.5
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0028,4.3357559,2.38115125,7.894827858,11
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.140475124,0.661075462,1.967526527,458
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.315002206,1.157801648,1.493546676,121
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.202889045,0.994076011,1.455564803,429
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.199030613,1.064028986,1.351160946,288
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0028,1.453398751,1.054803298,2.002617865,19
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.136883125,1.000230256,1.292205701,288
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0028,1.233692795,0.855217549,1.779661694,19
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.256469675,1.096473099,1.439812836,123
Diabetes,Other diabetes mellitus,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.240037148,1.012097845,1.51931173,419.5
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,2.570929997,1.943263935,3.401328192,251
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,2.110581496,1.307183732,3.40774915,509
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,20.08836918,15.77494623,25.58123308,6
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,4.186508111,3.380061822,5.185358598,113
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,405.4404471,311.8442923,527.1288417,1
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.093556687,1.003233818,1.192011361,269
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,40.60759021,34.09163342,48.36899455,1
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.192986468,1.012226743,1.406025599,426
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,1.844929195,1.570460989,2.167366205,8
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.154009269,1.064564824,1.250968811,118
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,0.999596726,0.913713931,1.093551909,271
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,0.962839562,0.771277143,1.201980417,15
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.073970207,0.902755892,1.277656579,417
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,0.988313012,0.906465235,1.077551099,118
Mental illnesses,Post-traumatic stress disorder,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,22.01716683,17.38965983,27.87608498,1
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,177.5204831,168.1647242,187.3967449,8
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.491711472,1.118849584,1.988831141,466
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,5.730403803,5.106355805,6.430716739,57
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.577759811,1.267432246,1.964070097,273
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,1910.193835,1777.051839,2053.30917,0
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.031395047,0.940440497,1.131146364,278
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.143746297,0.99074539,1.320375149,431
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,2.012387846,1.882787139,2.150909552,72
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,587.3659208,557.5130995,618.8172532,0
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,31.66177129,30.30176616,33.08281622,9
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.526804822,1.408986568,1.654474937,81
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,0.958583888,0.866265271,1.060740978,278
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,9.339997644,8.598751343,10.1451423,13
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.046765779,0.887639133,1.234418983,429
Cardiovascular diseases,Pulmonary embolism,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,355.1932473,330.7279056,381.4687752,0
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.636029059,1.268796483,2.109551151,267
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.916854191,1.557835722,2.35861174,110
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,80.10297544,55.59315043,115.4186554,1
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.950251425,1.407846033,2.701631095,477
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,3.784054296,2.682243041,5.338464154,10
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.195047306,1.060344903,1.346861817,422.5
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,23.31981316,20.24195819,26.8656659,1
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,1.221152729,1.079102766,1.381901737,13
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.162622128,1.102262376,1.226287172,115
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.163938642,1.095592117,1.23654884,270
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,1.105925755,0.967964891,1.263549728,13
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,19.92563927,16.99892011,23.35625426,1
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.139746697,1.070532121,1.213436298,270
Mental illnesses,Self harm,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.129524243,1.068703182,1.193806697,115
